configuration ID,learning_rate,buffer,batch,tau,gamma,Reward,n_eval_episode
19,0.001,10000,64,0.01,0.99,-129.209574,1
19,0.001,10000,64,0.01,0.99,-2.638103,2
19,0.001,10000,64,0.01,0.99,-2.308793,3
19,0.001,10000,64,0.01,0.99,-230.148146,4
19,0.001,10000,64,0.01,0.99,-354.551854,5
19,0.001,10000,64,0.01,0.99,-353.137825,6
19,0.001,10000,64,0.01,0.99,-342.893936,7
19,0.001,10000,64,0.01,0.99,-228.13199,8
19,0.001,10000,64,0.01,0.99,-2.728345,9
19,0.001,10000,64,0.01,0.99,-132.608482,10
19,0.001,10000,64,0.01,0.99,-248.335614,11
19,0.001,10000,64,0.01,0.99,-121.217135,12
19,0.001,10000,64,0.01,0.99,-244.570095,13
19,0.001,10000,64,0.01,0.99,-355.890726,14
19,0.001,10000,64,0.01,0.99,-239.317807,15
19,0.001,10000,64,0.01,0.99,-120.561936,16
19,0.001,10000,64,0.01,0.99,-2.78523,17
19,0.001,10000,64,0.01,0.99,-356.864142,18
19,0.001,10000,64,0.01,0.99,-330.129143,19
19,0.001,10000,64,0.01,0.99,-131.189607,20
20,0.001,10000,128,0.001,0.5,-1222.986257,1
20,0.001,10000,128,0.001,0.5,-1492.572617,2
20,0.001,10000,128,0.001,0.5,-1371.292211,3
20,0.001,10000,128,0.001,0.5,-1027.013719,4
20,0.001,10000,128,0.001,0.5,-1291.520376,5
20,0.001,10000,128,0.001,0.5,-1295.375976,6
20,0.001,10000,128,0.001,0.5,-1268.882502,7
20,0.001,10000,128,0.001,0.5,-1354.721202,8
20,0.001,10000,128,0.001,0.5,-1186.02906,9
20,0.001,10000,128,0.001,0.5,-1328.736861,10
20,0.001,10000,128,0.001,0.5,-1143.134435,11
20,0.001,10000,128,0.001,0.5,-1269.179444,12
20,0.001,10000,128,0.001,0.5,-1237.828329,13
20,0.001,10000,128,0.001,0.5,-1286.727771,14
20,0.001,10000,128,0.001,0.5,-1308.202874,15
20,0.001,10000,128,0.001,0.5,-1502.644966,16
20,0.001,10000,128,0.001,0.5,-1317.730715,17
20,0.001,10000,128,0.001,0.5,-1327.184685,18
20,0.001,10000,128,0.001,0.5,-1493.970379,19
20,0.001,10000,128,0.001,0.5,-1278.324724,20
21,0.001,10000,128,0.001,0.99,-270.701311,1
21,0.001,10000,128,0.001,0.99,-1496.544181,2
21,0.001,10000,128,0.001,0.99,-272.271018,3
21,0.001,10000,128,0.001,0.99,-2.111621,4
21,0.001,10000,128,0.001,0.99,-265.370976,5
21,0.001,10000,128,0.001,0.99,-270.363828,6
21,0.001,10000,128,0.001,0.99,-1495.59177,7
21,0.001,10000,128,0.001,0.99,-137.125155,8
21,0.001,10000,128,0.001,0.99,-1490.943717,9
21,0.001,10000,128,0.001,0.99,-132.92181,10
21,0.001,10000,128,0.001,0.99,-436.578781,11
21,0.001,10000,128,0.001,0.99,-267.550139,12
21,0.001,10000,128,0.001,0.99,-280.983445,13
21,0.001,10000,128,0.001,0.99,-270.35342,14
21,0.001,10000,128,0.001,0.99,-1496.83696,15
21,0.001,10000,128,0.001,0.99,-270.374793,16
21,0.001,10000,128,0.001,0.99,-133.76451,17
21,0.001,10000,128,0.001,0.99,-1492.474097,18
21,0.001,10000,128,0.001,0.99,-136.635902,19
21,0.001,10000,128,0.001,0.99,-137.436604,20
22,0.001,10000,128,0.01,0.5,-1263.067019,1
22,0.001,10000,128,0.01,0.5,-1282.062456,2
22,0.001,10000,128,0.01,0.5,-1307.736772,3
22,0.001,10000,128,0.01,0.5,-1282.063019,4
22,0.001,10000,128,0.01,0.5,-1316.07099,5
22,0.001,10000,128,0.01,0.5,-1340.078611,6
22,0.001,10000,128,0.01,0.5,-1158.907989,7
22,0.001,10000,128,0.01,0.5,-1287.633305,8
22,0.001,10000,128,0.01,0.5,-1270.514191,9
22,0.001,10000,128,0.01,0.5,-1322.239347,10
22,0.001,10000,128,0.01,0.5,-1324.353347,11
22,0.001,10000,128,0.01,0.5,-914.357722,12
22,0.001,10000,128,0.01,0.5,-1319.025397,13
22,0.001,10000,128,0.01,0.5,-1288.626297,14
22,0.001,10000,128,0.01,0.5,-1161.289185,15
22,0.001,10000,128,0.01,0.5,-1319.803304,16
22,0.001,10000,128,0.01,0.5,-1335.390328,17
22,0.001,10000,128,0.01,0.5,-1302.301783,18
22,0.001,10000,128,0.01,0.5,-1281.298018,19
22,0.001,10000,128,0.01,0.5,-1501.874341,20
23,0.001,10000,128,0.01,0.99,-118.07461,1
23,0.001,10000,128,0.01,0.99,-0.89317,2
23,0.001,10000,128,0.01,0.99,-220.161135,3
23,0.001,10000,128,0.01,0.99,-125.371828,4
23,0.001,10000,128,0.01,0.99,-248.744765,5
23,0.001,10000,128,0.01,0.99,-123.389668,6
23,0.001,10000,128,0.01,0.99,-123.80522,7
23,0.001,10000,128,0.01,0.99,-0.438289,8
23,0.001,10000,128,0.01,0.99,-126.055184,9
23,0.001,10000,128,0.01,0.99,-245.379359,10
23,0.001,10000,128,0.01,0.99,-129.173187,11
23,0.001,10000,128,0.01,0.99,-126.950913,12
23,0.001,10000,128,0.01,0.99,-2.339694,13
23,0.001,10000,128,0.01,0.99,-116.527728,14
23,0.001,10000,128,0.01,0.99,-116.418074,15
23,0.001,10000,128,0.01,0.99,-120.233914,16
23,0.001,10000,128,0.01,0.99,-118.022955,17
23,0.001,10000,128,0.01,0.99,-131.878323,18
23,0.001,10000,128,0.01,0.99,-124.024442,19
23,0.001,10000,128,0.01,0.99,-231.84571,20
24,0.001,100000,32,0.001,0.5,-1440.951798,1
24,0.001,100000,32,0.001,0.5,-1483.81515,2
24,0.001,100000,32,0.001,0.5,-1500.227733,3
24,0.001,100000,32,0.001,0.5,-1318.759042,4
